Prior probablity
class,probablity
negative,0.41935483870967744
positive,0.5806451612903226
word,class,probablity
a,negative,0.02040816326530612
little,negative,0.01020408163265306
pricey,negative,0.01020408163265306
for,negative,0.01020408163265306
what,negative,0.01020408163265306
it,negative,0.02040816326530612
is,negative,0.025510204081632654
sheds,negative,0.01020408163265306
all,negative,0.01020408163265306
over,negative,0.01020408163265306
would,negative,0.01020408163265306
not,negative,0.030612244897959183
buy,negative,0.015306122448979591
ever,negative,0.015306122448979591
again,negative,0.01020408163265306
bottom,negative,0.01020408163265306
will,negative,0.01020408163265306
stay,negative,0.01020408163265306
on,negative,0.015306122448979591
zero,negative,0.01020408163265306
customer,negative,0.01020408163265306
service,negative,0.01020408163265306
do,negative,0.015306122448979591
does,negative,0.01020408163265306
very,negative,0.015306122448979591
good,negative,0.015306122448979591
job,negative,0.01020408163265306
difficult,negative,0.01020408163265306
to,negative,0.01020408163265306
use,negative,0.01020408163265306
so,negative,0.01020408163265306
poor,negative,0.02040816326530612
quality,negative,0.02040816326530612
was,negative,0.015306122448979591
broken,negative,0.01020408163265306
and,negative,0.01020408163265306
the,negative,0.025510204081632654
glass,negative,0.01020408163265306
cracked,negative,0.01020408163265306
bad,negative,0.01020408163265306
only,negative,0.01020408163265306
negative,negative,0.01020408163265306
shape,negative,0.01020408163265306
of,negative,0.01020408163265306
container,negative,0.01020408163265306
worst,negative,0.01020408163265306
product,negative,0.01020408163265306
heaply,negative,0.01020408163265306
made,negative,0.01020408163265306
mask,negative,0.01020408163265306
fit,negative,0.01020408163265306
unfortunately,negative,0.01020408163265306
there,negative,0.01020408163265306
were,negative,0.01020408163265306
no,negative,0.01020408163265306
batteries,negative,0.01020408163265306
perfect,positive,0.012875536480686695
they,positive,0.008583690987124463
do,positive,0.012875536480686695
exactly,positive,0.008583690987124463
what,positive,0.008583690987124463
i,positive,0.02575107296137339
need,positive,0.008583690987124463
them,positive,0.012875536480686695
to,positive,0.012875536480686695
will,positive,0.008583690987124463
keep,positive,0.008583690987124463
for,positive,0.017167381974248927
a,positive,0.017167381974248927
long,positive,0.008583690987124463
time,positive,0.012875536480686695
excellent,positive,0.008583690987124463
product,positive,0.012875536480686695
and,positive,0.012875536480686695
much,positive,0.012875536480686695
better,positive,0.008583690987124463
quality,positive,0.017167381974248927
than,positive,0.012875536480686695
the,positive,0.02575107296137339
one,positive,0.008583690987124463
you,positive,0.008583690987124463
get,positive,0.008583690987124463
at,positive,0.008583690987124463
walmart,positive,0.008583690987124463
service,positive,0.008583690987124463
was,positive,0.012875536480686695
great,positive,0.017167381974248927
ca,positive,0.008583690987124463
wait,positive,0.008583690987124463
try,positive,0.008583690987124463
it,positive,0.008583690987124463
out,positive,0.008583690987124463
very,positive,0.012875536480686695
good,positive,0.012875536480686695
am,positive,0.012875536480686695
happy,positive,0.008583690987124463
with,positive,0.012875536480686695
my,positive,0.008583690987124463
purchase,positive,0.008583690987124463
works,positive,0.008583690987124463
well,positive,0.017167381974248927
this,positive,0.017167381974248927
bag,positive,0.012875536480686695
is,positive,0.012875536480686695
made,positive,0.008583690987124463
item,positive,0.008583690987124463
as,positive,0.008583690987124463
advertised,positive,0.008583690987124463
fast,positive,0.008583690987124463
shipping,positive,0.008583690987124463
arrived,positive,0.008583690987124463
on,positive,0.008583690987124463
must,positive,0.008583690987124463
have,positive,0.008583690987124463
anyone,positive,0.008583690987124463
awesome,positive,0.008583690987124463
really,positive,0.012875536480686695
enjoyed,positive,0.008583690987124463
using,positive,0.008583690987124463
these,positive,0.012875536480686695
are,positive,0.008583690987124463
adorable,positive,0.008583690987124463
seems,positive,0.008583690987124463
faster,positive,0.008583690987124463
other,positive,0.008583690987124463
brands,positive,0.008583690987124463
worth,positive,0.012875536480686695
money,positive,0.012875536480686695
impressed,positive,0.008583690987124463
sound,positive,0.008583690987124463
of,positive,0.008583690987124463
feedback,positive,0.008583690987124463
smooth,positive,0.008583690987124463
function,positive,0.008583690987124463
